Prompt,ID
A full shot of a person walking to the bathroom,a_p1_f1
A full shot of a person walking to the bathroom,a_p1_f2
A full shot of a person walking to the bathroom,a_p1_f3
A full shot of a person walking to the bathroom,a_p1_f4
A full shot of a person moving between rooms,a_p2_f1
A full shot of a person moving between rooms,a_p2_f2
A full shot of a person moving between rooms,a_p2_f3
A full shot of a person moving between rooms,a_p2_f4
A full shot of a person climbing stairs,a_p3_f1
A full shot of a person climbing stairs,a_p3_f2
A full shot of a person climbing stairs,a_p3_f3
A full shot of a person climbing stairs,a_p3_f4
A full shot of a person cooking meals,a_p4_f1
A full shot of a person cooking meals,a_p4_f2
A full shot of a person cooking meals,a_p4_f3
A full shot of a person cooking meals,a_p4_f4
A full shot of a person eating at the dining table,a_p5_f1
A full shot of a person eating at the dining table,a_p5_f2
A full shot of a person eating at the dining table,a_p5_f3
A full shot of a person eating at the dining table,a_p5_f4
A full shot of a person setting the table,a_p6_f1
A full shot of a person setting the table,a_p6_f2
A full shot of a person setting the table,a_p6_f3
A full shot of a person setting the table,a_p6_f4
A full shot of a person selecting clothes,a_p7_f1
A full shot of a person selecting clothes,a_p7_f2
A full shot of a person selecting clothes,a_p7_f3
A full shot of a person selecting clothes,a_p7_f4
A full shot of a person putting on clothes,a_p8_f1
A full shot of a person putting on clothes,a_p8_f2
A full shot of a person putting on clothes,a_p8_f3
A full shot of a person putting on clothes,a_p8_f4
A full shot of a person changing clothes,a_p9_f1
A full shot of a person changing clothes,a_p9_f2
A full shot of a person changing clothes,a_p9_f3
A full shot of a person changing clothes,a_p9_f4
A full shot of a person showering or bathing,a_p10_f1
A full shot of a person showering or bathing,a_p10_f2
A full shot of a person showering or bathing,a_p10_f3
A full shot of a person showering or bathing,a_p10_f4
A full shot of a person brushing teeth,a_p11_f1
A full shot of a person brushing teeth,a_p11_f2
A full shot of a person brushing teeth,a_p11_f3
A full shot of a person brushing teeth,a_p11_f4
A full shot of a person grooming,a_p12_f1
A full shot of a person grooming,a_p12_f2
A full shot of a person grooming,a_p12_f3
A full shot of a person grooming,a_p12_f4
A full shot of a person using the toilet,a_p13_f1
A full shot of a person using the toilet,a_p13_f2
A full shot of a person using the toilet,a_p13_f3
A full shot of a person using the toilet,a_p13_f4
A full shot of a person changing incontinence products,a_p14_f1
A full shot of a person changing incontinence products,a_p14_f2
A full shot of a person changing incontinence products,a_p14_f3
A full shot of a person changing incontinence products,a_p14_f4
A full shot of a person cleaning up spills,a_p15_f1
A full shot of a person cleaning up spills,a_p15_f2
A full shot of a person cleaning up spills,a_p15_f3
A full shot of a person cleaning up spills,a_p15_f4
A full shot of a person walking to a nearby store,a_p16_f1
A full shot of a person walking to a nearby store,a_p16_f2
A full shot of a person walking to a nearby store,a_p16_f3
A full shot of a person walking to a nearby store,a_p16_f4
A full shot of a person strolling in the neighborhood,a_p17_f1
A full shot of a person strolling in the neighborhood,a_p17_f2
A full shot of a person strolling in the neighborhood,a_p17_f3
A full shot of a person strolling in the neighborhood,a_p17_f4
A full shot of a person walking to public transport,a_p18_f1
A full shot of a person walking to public transport,a_p18_f2
A full shot of a person walking to public transport,a_p18_f3
A full shot of a person walking to public transport,a_p18_f4
A full shot of a person dining at restaurants,a_p19_f1
A full shot of a person dining at restaurants,a_p19_f2
A full shot of a person dining at restaurants,a_p19_f3
A full shot of a person dining at restaurants,a_p19_f4
A full shot of a person grocery shopping,a_p20_f1
A full shot of a person grocery shopping,a_p20_f2
A full shot of a person grocery shopping,a_p20_f3
A full shot of a person grocery shopping,a_p20_f4
A full shot of a person picnicking,a_p21_f1
A full shot of a person picnicking,a_p21_f2
A full shot of a person picnicking,a_p21_f3
A full shot of a person picnicking,a_p21_f4
A full shot of a person shopping for clothes,a_p22_f1
A full shot of a person shopping for clothes,a_p22_f2
A full shot of a person shopping for clothes,a_p22_f3
A full shot of a person shopping for clothes,a_p22_f4
A full shot of a person attending fittings,a_p23_f1
A full shot of a person attending fittings,a_p23_f2
A full shot of a person attending fittings,a_p23_f3
A full shot of a person attending fittings,a_p23_f4
A full shot of a person picking up laundry,a_p24_f1
A full shot of a person picking up laundry,a_p24_f2
A full shot of a person picking up laundry,a_p24_f3
A full shot of a person picking up laundry,a_p24_f4
A full shot of a person visiting a salon or barber,a_p25_f1
A full shot of a person visiting a salon or barber,a_p25_f2
A full shot of a person visiting a salon or barber,a_p25_f3
A full shot of a person visiting a salon or barber,a_p25_f4
