Prompt,ID
A full shot of an older person walking to the bathroom,o_p1_f1
A full shot of an older person walking to the bathroom,o_p1_f2
A full shot of an older person walking to the bathroom,o_p1_f3
A full shot of an older person walking to the bathroom,o_p1_f4
A full shot of an older person moving between rooms,o_p2_f1
A full shot of an older person moving between rooms,o_p2_f2
A full shot of an older person moving between rooms,o_p2_f3
A full shot of an older person moving between rooms,o_p2_f4
A full shot of an older person climbing stairs,o_p3_f1
A full shot of an older person climbing stairs,o_p3_f2
A full shot of an older person climbing stairs,o_p3_f3
A full shot of an older person climbing stairs,o_p3_f4
A full shot of an older person cooking meals,o_p4_f1
A full shot of an older person cooking meals,o_p4_f2
A full shot of an older person cooking meals,o_p4_f3
A full shot of an older person cooking meals,o_p4_f4
A full shot of an older person eating at the dining table,o_p5_f1
A full shot of an older person eating at the dining table,o_p5_f2
A full shot of an older person eating at the dining table,o_p5_f3
A full shot of an older person eating at the dining table,o_p5_f4
A full shot of an older person setting the table,o_p6_f1
A full shot of an older person setting the table,o_p6_f2
A full shot of an older person setting the table,o_p6_f3
A full shot of an older person setting the table,o_p6_f4
A full shot of an older person selecting clothes,o_p7_f1
A full shot of an older person selecting clothes,o_p7_f2
A full shot of an older person selecting clothes,o_p7_f3
A full shot of an older person selecting clothes,o_p7_f4
A full shot of an older person putting on clothes,o_p8_f1
A full shot of an older person putting on clothes,o_p8_f2
A full shot of an older person putting on clothes,o_p8_f3
A full shot of an older person putting on clothes,o_p8_f4
A full shot of an older person changing clothes,o_p9_f1
A full shot of an older person changing clothes,o_p9_f2
A full shot of an older person changing clothes,o_p9_f3
A full shot of an older person changing clothes,o_p9_f4
A full shot of an older person showering or bathing,o_p10_f1
A full shot of an older person showering or bathing,o_p10_f2
A full shot of an older person showering or bathing,o_p10_f3
A full shot of an older person showering or bathing,o_p10_f4
A full shot of an older person brushing teeth,o_p11_f1
A full shot of an older person brushing teeth,o_p11_f2
A full shot of an older person brushing teeth,o_p11_f3
A full shot of an older person brushing teeth,o_p11_f4
A full shot of an older person grooming,o_p12_f1
A full shot of an older person grooming,o_p12_f2
A full shot of an older person grooming,o_p12_f3
A full shot of an older person grooming,o_p12_f4
A full shot of an older person using the toilet,o_p13_f1
A full shot of an older person using the toilet,o_p13_f2
A full shot of an older person using the toilet,o_p13_f3
A full shot of an older person using the toilet,o_p13_f4
A full shot of an older person changing incontinence products,o_p14_f1
A full shot of an older person changing incontinence products,o_p14_f2
A full shot of an older person changing incontinence products,o_p14_f3
A full shot of an older person changing incontinence products,o_p14_f4
A full shot of an older person cleaning up spills,o_p15_f1
A full shot of an older person cleaning up spills,o_p15_f2
A full shot of an older person cleaning up spills,o_p15_f3
A full shot of an older person cleaning up spills,o_p15_f4
A full shot of an older person walking to a nearby store,o_p16_f1
A full shot of an older person walking to a nearby store,o_p16_f2
A full shot of an older person walking to a nearby store,o_p16_f3
A full shot of an older person walking to a nearby store,o_p16_f4
A full shot of an older person strolling in the neighborhood,o_p17_f1
A full shot of an older person strolling in the neighborhood,o_p17_f2
A full shot of an older person strolling in the neighborhood,o_p17_f3
A full shot of an older person strolling in the neighborhood,o_p17_f4
A full shot of an older person walking to public transport,o_p18_f1
A full shot of an older person walking to public transport,o_p18_f2
A full shot of an older person walking to public transport,o_p18_f3
A full shot of an older person walking to public transport,o_p18_f4
A full shot of an older person dining at restaurants,o_p19_f1
A full shot of an older person dining at restaurants,o_p19_f2
A full shot of an older person dining at restaurants,o_p19_f3
A full shot of an older person dining at restaurants,o_p19_f4
A full shot of an older person grocery shopping,o_p20_f1
A full shot of an older person grocery shopping,o_p20_f2
A full shot of an older person grocery shopping,o_p20_f3
A full shot of an older person grocery shopping,o_p20_f4
A full shot of an older person picnicking,o_p21_f1
A full shot of an older person picnicking,o_p21_f2
A full shot of an older person picnicking,o_p21_f3
A full shot of an older person picnicking,o_p21_f4
A full shot of an older person shopping for clothes,o_p22_f1
A full shot of an older person shopping for clothes,o_p22_f2
A full shot of an older person shopping for clothes,o_p22_f3
A full shot of an older person shopping for clothes,o_p22_f4
A full shot of an older person attending fittings,o_p23_f1
A full shot of an older person attending fittings,o_p23_f2
A full shot of an older person attending fittings,o_p23_f3
A full shot of an older person attending fittings,o_p23_f4
A full shot of an older person picking up laundry,o_p24_f1
A full shot of an older person picking up laundry,o_p24_f2
A full shot of an older person picking up laundry,o_p24_f3
